ID,Title,Author,Length,URL,Year,Approach
video341,Surgeon 063 – RP,musicurologyvideo,7898.458,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_063_video_01_8/1548870642/surgeon_063_video_01_8-1080p.mp4,2014,anterior
video342,Surgeon 063 – Difficult RP,musicurologyvideo,8308.567,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_063_video_03_3/1548874877/surgeon_063_video_03_3-1080p.mp4,2018,posterior
video343,Surgeon 029 – Difficult RP,musicurologyvideo,8421.547,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_029_video_06_2/1548865604/surgeon_029_video_06_2-1080p.mp4,2018,anterior
video344,Surgeon 043 – RP,musicurologyvideo,9016.241,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_043_video_01_2016/1550159526/surgeon_043_video_01_2016-720p.mp4,2016,anterior
video345,Surgeon 029 – RP,musicurologyvideo,10457.948,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_029_video_07_5/1550156666/surgeon_029_video_07_5-720p.mp4,2018,anterior
video346,Surgeon 011 – RP,musicurologyvideo,10594.952,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_011_video_02_4/1550153724/surgeon_011_video_02_4-1080p.mp4,2018,posterior
video347,Surgeon 003 – Difficult RP,musicurologyvideo,10713.437,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_003_video_01_03-720p-8/1613598496/surgeon_003_video_01_03-720p-8-1080p.mp4,2018,anterior
video348,Surgeon 069 – RP,musicurologyvideo,11034.095,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/surgeon_069_video_01_9/1548878650/surgeon_069_video_01_9-1080p.mp4,2016,anterior
video349,Surgeon 015 – Difficult RP,musicurologyvideo,11521.477,//bcmmedia.s3.amazonaws.com/bcp/video/transcodes/mui_9511_surgeon_015_video_02_11/1550762627/mui_9511_surgeon_015_video_02_11-720p.mp4,2017,anterior
video351,Live robotic prostatectomy: WRSE Live Surgery Event Oct 15,Declan Murphy,6822.302,http://dg1fmc8qbela5.cloudfront.net/video351.mp4,2015,anterior
